,评论ID,机型,规格,初评时间,初评内容,追评时间,追评内容,追评天数
554,1128055526970,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 21:33:59,手机很好看，拍照完美，特别是屏幕，特别清楚！！！老米粉表示很喜欢！！！,,,
555,1128054330518,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 21:19:55,小米新机很好用，手机非常流畅，这款不错，可以入手！,,,
556,1128451911188,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 21:10:20,看发布会就抢了，0点付完尾款，男朋友等了好几个月了。他很喜欢,,,
557,1127186140024,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 21:05:20,到的很快，猝不及防就到了，颜色比我想象中的深一些，可能紫色更好看，不过其他的都很舒服啦，细节方面也适手，上手也算轻，最舒服的就是快充了吧，一会会就好了，总之是喜欢✓,,,
558,1128450995766,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 21:03:35,第二次購買小米手機，性價比高，充電速度快，螢幕畫質細膩，照相機功能強大。,,,
559,1127617701859,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 20:42:01,小米的忠实用户了，基本上所有的手机和电子产品都是小米，11pro好用，推荐👍,,,
560,1128049290902,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 20:37:33,颜值爆表 手感好 充电快 贼流畅,,,
561,1128049554088,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 20:36:28,手机很好拿到很有份量，我早在还没开发布会时候就决定要买了，买来果然没有让我失望，小米加油！,,,
562,1127181388609,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 20:28:53,一直用华为，换到小米，速度很快，超喜欢，电池也能使用一整天。,,,
563,1127181544302,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 20:28:53,可以，挺不错的，充电速度挺快的，音质可以，打游戏不错，我自己用的魅族17p，换到小米了  。,,,
564,1128446731459,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 20:25:12,总的来说拍照效果确实不错，续航也可以，就是音量上调的时候声音有点虚。,,,
565,1127180476573,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 20:20:16,紫色绝美！！！！每个角度的颜色都不一样！！5555555好仙女哦,,,
566,1128046890824,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 20:17:20,紫色很好看，没看到雷总说的199无线套装，还想体验一下67w无线的，可惜了,,,
567,1127179380497,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 20:10:51,一天到物流非常快，手机继续研究。等下次追评,,,
568,1128444791237,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 20:10:01,小米现在系统做得越来越好了，发热情况也有改善，毕竟是现在最新的机型，性能很好，希望能用久一点，毕竟是主力机。,,,
569,1128443867807,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 20:04:11,绿色的机身质感高级，哈曼卡顿的音效出色，夜景模式拍出的照片非常清晰，总体五星好评,,,
570,1128045266193,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 20:01:31,手机不错，之前用的摄像头有点问题，拍出来效果不好。用了两天略微有点发热，其他效果还行。,,,
571,1128443491314,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 19:59:23,系统流畅，照相夜景清析。第二次用小米手机，家里有一堆小米的东西。希望小米越做越好。,,,
572,1128443227942,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 19:58:52,爱了爱了，不愧是我期待了很久的爪机。目前各方面都很满意～多年米粉特来评价,,,
573,1128443371201,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 19:57:01,其他特色：第一布部小米手机，使用一段时间，再反馈 拍照效果：夜景非常强，50MP，超广角 电池续航：电池非常给力，充电很快 通信音质：音质非常清晰,,,
574,1128442235941,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 19:47:56,手机性能非常好，运行速度很快，唯一缺点就是耗电有点快，总体来说还算满意,,,
575,1127174408301,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 19:26:32,我心心念念的宝贝终于到了啊啊哈哈哈哈，从小米11等到Pro啊！这颜值我爱辽。。哈哈！这是我的第一部小米手机，新晋米粉，希望小米莫要让我失望啊，我可是期待很高很高的呢！  其他特色：颜值高，要是后置摄像头能再小点就更完美了，哈哈！  拍照效果：拍照杠杠的！！ 电池续航：我觉得挺好的 其他就不太清楚了。。 等用段时间再来追评吧！,,,
576,1128040286546,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 19:21:15,用过好几部小米手机 这一次带给我很多惊喜！高端配置颜值手感都不错 ！性能更强大！希望小米越来越好！11pro 你值得拥有！小米为发烧而生！,,,
577,1127173340076,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 19:16:16,第一次用小米，感觉不错，手机功能非常强大，拍照很清晰。,,,
578,1128039438297,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 19:12:08,其他特色：喜欢绿色，比超大杯轻便，至尊太重了 建议买pro 拍照效果：很棒gn2大底对比秒杀我的华为p40pro 电池续航：不错2天一冲 通信音质：很好清晰 运行速度：流畅120hz流畅 显示效果：清晰无色差,,,
579,1127604325618,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 18:45:59,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买,,,
580,1128035890440,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 18:40:43,终于等到你，一直忍住没买小米11，等着Pro出来。到了几天了，今天刚取回来，很是欣喜。从小米换小米，支持！支持！支持！试了一下感觉很不错哦。运行很快，大爱了！！！🌹🌹🌹,,,
581,1128035806083,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 18:38:06,物流速度很快，拿在手机质感也很棒，哈哈 只是还没有贴过曲面屏的钢化膜 好像有点难搞🙃,,,
582,1127167768676,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 18:33:55,其他特色：摄像头的确很高 拍照效果：可以 电池续航：掉电的确快。还没更新12.5 通信音质：可以 运行速度：快 显示效果：好，但是费电。。,,,
583,1128433759523,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 18:33:10,支持小米,,,
584,1128433507965,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 18:31:56,等了三天的手机，入手体验了一天后才来评价 手机整体不错，尤其是屏幕的像素，入手的第一个小米手机 就是系统对于手机应用自启动这一方面很大缺陷，影响体验感😓,,,
585,1128432551608,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 18:22:46,还可以，就是耗电快,,,
586,1128432107185,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 18:16:02,手机收到了，屏幕显示清晰，打开应用也很流畅，美中不足的是耗电有点快了，一天还是两冲，打开b站偶尔会卡*，希望12.5版本能修复一下bug吧,,,
587,1128431427740,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 18:14:00,虽然不在家，期待的看了一下照片，明天下班开封，下一步等换车😊,,,
588,1128429755900,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 18:01:37,换完手机有种起飞的感觉&hellip;真心配得上是旗舰机守门员&hellip;全面的不要不要的&hearts;另外，快递强到爆炸，早上补款，下午送到，必须赞,,,
589,1128029438927,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 17:51:44,不错，没有白等,,,
590,1128027630361,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 17:35:17,再一次选择了小米，希望小米越来越好，手机超nice🤙🤙🤙。希望带来不一样的体验 拍照效果：巨佳 电池续航：巨佳 通信音质：巨佳,,,
591,1128027366556,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 17:34:35,新机入手感觉手感不错，运行速度很快，屏幕色彩鲜艳，其它功能须进一步了解，发货速度也很快。,,,
592,1128024962406,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 17:19:19,对比了这个月几款新手机，既然都是骁龙888火龙，就选个堆料十足的小米11pro.安兔兔跑分几次都是81.3万分，上不了抖音说的82万分总觉得不完美.希望能早点用上miui12.5就好了。 电池续航：5000毫安电池耐用 显示效果：显示非常好,,,
593,1128024478652,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 17:15:39,速度很快，两天就收到货了，送人的，他很喜欢,,,
594,1128023362011,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 17:07:51,机子很漂亮，屏幕很丝滑，摄像头还不错，不愧为四月份限定机皇，雷总造车加油，争取把电车市场都打下来我就能买特斯拉了,,,
595,1127590529492,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 17:06:18,11刚发布我就等11p换手机了 用了几天确实不错 小米！永远滴神,,,
596,1127154764895,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 16:58:51,人生第一个小米手机，各方面感觉都挺好！,,,
597,1127150308422,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 16:31:44,第一次买旗舰机，感觉很不错，小米的系统做得很好，尤其是智能助手,,,
598,1128016974117,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 16:31:35,手机太太太长了，打游戏不方便，哪怕短一厘米也行啊&hellip;&hellip;&hellip;,,,
599,1128015466285,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 16:22:27,手机很惊艳，跟我在实体店看的一模一样，还是一样的好用，没有任何破损的地方，外观也好看，好评,,,
600,1128015046460,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 16:21:22,紫色比想象中好看，磨砂手感很赞，唯一不足内存买小了。,,,
601,1128412331758,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 16:09:07,手机使用一天来评价一下，快递很给力，当天买第二天就到了。 首先说说外观和手感，说实话这外观我觉得是不如米10的，而且镜头突出也相对其他手机高很多。总体手感和重量还算可以接受。单论外观和手感感觉11会好很多。 暂时没有深度体验拍照，按网上测评来看应该挺不错的。不过说一点就是相机使用体验挺好的，换焦距的时候非常流畅一点不卡，拍照速度也挺快。 这次的这块屏幕的确够舒服，没有出现绿屏，2k加120刷新率真的爽，刚从锤子换过来感觉我的眼睛都明亮了。 MIUI挺熟悉了，我个人挺喜欢的系统，就是得把广告都给关了，不然很烦人。流畅度现在的旗舰机感觉都没问题了，卡顿情况几乎没有。续航感觉还好，中度能用一天，发热情况的确有一些，我不玩游戏所以没出现热到烫手的情况。,,,
602,1128012910335,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 16:04:53,手感可以 玩游戏也很棒 画质清晰 拍照片也好看 目前到手很满意满意,,,
603,1127146376114,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 16:03:26,电池续航：充一次电用一天无压力 通信音质：音质很满意 显示效果：120H显示很惊艳  从三星换过来的，初上手有些不适应，但是很快就顺了，MIUI用起来很不错。 紫色的外观很漂亮，做工、手感以及使用体验配得上这个价钱，给国货手机点个赞。 快速充电相当喜欢，充满只需要半小时左右，满满的安全感。,,,
604,1127579213380,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 16:00:19,上午买的下午就到了，为小米点赞为顺丰点赞。,,,
605,1128410819135,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:58:34,以前用过米3米4和note系列，现在换5G手机和其他品牌对比了好久还是买了这款，品质不错当然价格也是越来越高，不过确实速度很快，女生单手操作也可以，重量比我之前的nova系列略重，但是拍照确实明显色彩度各方面都更出色，黑色大气好看，主要是以后能淘汰给老公用，次日到货目前体验不错！拍张我家狗子感受下📷,,,
606,1127578881152,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:55:11,儿子说这手机真的很棒。,,,
607,1127143884933,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:51:46,好用好用 流畅 顺滑  好看  稍微有点重屏幕够大    买不到手机壳,,,
608,1127577485913,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 15:49:59,手机收到，基本上和小米11外观一致，续航、温度控制和拍照都有大的提升，唯一不喜欢的就是重量和厚度比小米11大了🤔,,,
609,1127143576324,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:46:30,精致的造型设计和外观，款式时尚大气相当有档次，价格也很合理的，外观可以，手感很好，手机速度挺快，一天充一次电就够平常用。,,,
610,1128408227482,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:43:15,很精致，质量非常好，很满意的一次购物。谢谢店家！,,,
611,1127142424582,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 15:41:14,非常棒的手机，运行速度流畅。,,,
612,1128406755985,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:35:59,不错！发货速度很快！第一次用小米手机，希望不会失望吧！,,,
613,1127141004533,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 15:31:15,小米真是yyds，颜色真是太好看了，手机手感也很好，不愧是安卓机黄！！！,,,
614,1128404703802,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:22:01,非常好哈，一直用小米，性价比也很高，很流畅,,,
615,1128003650195,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 15:05:21,外观手感都挺不错，充电很快，续航还需测试，第一次入手小米，感觉还不错。没找到加购199的无线套餐有些可惜。,,,
616,1128002990974,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:05:00,买这手机主要为了拍照，暂时还没好好拍一下。手机很流畅，暂时没什么问题。,2021-04-09 10:59:49,戴耳机听歌卡顿很烦呐,2.0
617,1128003566024,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:04:15,这个小米手机11pro真的爱了爱了，流畅没得说，丝滑，也很耐电，需要的可以下单咯，早买早享受，晚买享折扣,,,
618,1127569809476,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 15:00:08,过了两年，又重回小米，没有让我失望，这真的是目前最好的旗舰手机之一。先来说说这两天的使用体验吧，非常流畅，手感正好，屏幕真的顶级，相机确实给力，我这种重度手机玩家，也可以做到一天一充，而且充电还这么快。你可以永远相信小米，期待下一款手机的到来。,,,
619,1128401055819,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 14:57:51,用了多年的荣耀手机，第一次用小米手机，12-256速度非常好，质感也挺好，五千大电池挺喜欢的，系统和华为还是有点不一样，希望一直好用吧。,,,
620,1127999146285,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 14:37:43,整体不错，系统流场。整体不错，系统流场 拍照效果不错，请看下图，感觉小米手机现在对人像拍照的处理的很到位。这点得给小米点个赞 三十分钟多一点就能充满，很不错，现在不用担心手机缺电的问题了 还没有去关注，双扬声器应该是不错的 信号很强，5G就是不一样，现在现在速度基本上能在30M以上，安装应用几秒就能结束,,,
621,1127566365695,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 14:35:02,综合素质挺好的，屏幕很惊艳，拍照也好，感觉不爽的就是这个系统广告太多了啊！！！不知道升级到12.5之后会不会好一点。,,,
622,1127131908711,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 14:32:46,很实用充电很快！也很好看，就是送的壳没有相机高，得重新买一个。音响也超级棒，爱了爱了～,,,
623,1127132032351,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 14:31:43,屏幕操作非常顺滑，续航能力也可以，各方面都不错，不愧是安卓机皇,,,
624,1127997134095,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 14:22:58,到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，像素没让我失望，物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意,,,
625,1128395455680,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 14:20:08,买来先用了两天来评价，充电速度超级快，电池续航还行，立体音效超级棒的。,,,
626,1127129768057,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 14:14:07,其他特色：屏幕够大 拍照效果：很香 电池续航：还不错 通信音质：听歌音质好 运行速度：火箭般的,,,
627,1127994942872,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 14:12:48,拍照效果：拍照优秀。50倍长焦镜头对比小米9实在提升太多，广角镜头排出来的照片有震撼感。 运行速度：个人特别喜欢120hz开启后的那种丝滑感觉，速度飞一样，爱不释手。 综上，这已经是我购买的第7台小米手机，第27台小米的设备，依然信任小米的做工，加油！ 显示效果：屏幕高清靓丽，屏占比很高，防误触设计很好，这块屏幕真的很不错。,,,
628,1127562085641,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 14:07:38,运行速度：运行速度很快 其他特色：小米系统用着很舒服,,,
629,1128392891678,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 14:02:39,2号买，4天就到非常感谢，第一次用小米高端手机，我的s9当备机了，上手除了感觉大还不错，值得入手。,,,
630,1127560985437,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 14:01:22,不错，很好.,,,
631,1127126792496,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 13:57:58,期待已久的手机，上手感觉系统流畅，拍照优秀，非常满意，性能超强，不愧是2021新旗舰，物流也很快，值得购买！,,,
632,1127557593520,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 13:38:54,收到手机就立马打开了  手机很精致 外观也不错  以后还会支持小米的。,,,
633,1127989990773,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 13:38:12,我这就先不说性能各个方面了，就说无线充电套装，我在线上官网抢的第一批，结果过了两天线下旗舰店买11p加购199能买个80w无线充电器，线上却没有，同样是小米推出来的活动，线下有线上却没有，同样的价格谁还到官网上买了?线下还有价值一两百的礼盒我就不说了，我就想知道凭啥淘宝旗舰店没有无线充电套装，要比线下多花三百才能买。实在不甘心，购买体验差,,,
634,1128389711035,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 13:37:20,拍照非常优秀，不愧是旗舰机皇，很不错！唯一的遗憾就是没有屏下摄像机，紫色颜色非常骚气,,,
635,1127122424698,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 13:31:03,拍照效果：拍照效果不错，充电速度也挺快的。其他的需要用段时间看看再来评论,,,
636,1128385319341,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 13:07:39,此用户没有填写评论!,2021-04-10 08:24:11,男朋友买的,3.0
637,1127118348498,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 13:02:55,为了检验续航能力，特意看了一部近两个小时的电影。电量显示还有一半多。满意。 没有比较对象，所以不评价。 充电速度感觉超快。也许是旧手机充电太慢。没有比较，就没有伤害。旧手机伤心地哭。 拍夜景最满意，其次是广角，拍人多的时候优势明显。 888芯片就是快！物流也快。许多操作还得慢慢摸索才能掌握。,,,
638,1127117588427,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 12:57:09,手机早就到了，回老家今天才拿到手机，用了一天，拍照牛🐮。很满意 拍照效果：好 运行速度：快 显示效果：好,,,
639,1127983030947,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 12:54:08,等了两天终于收到了，手感很好，太美了，超级喜欢,,,
640,1127982470900,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 12:48:40,其他特色：刚到手的手机后置方形镜头边缘白圈，像是掉漆了一样，做工有些粗糙 拍照效果：中肯 电池续航：还行 通信音质：清晰 运行速度：很快 显示效果：原厂膜很垃圾，必须得换个膜,2021-04-06 14:13:13,整体使用几个小时下来感觉非常不错，运行速度快，续航很强👍，拍照也是杠杠滴，音质太震撼，尤其吃鸡都不用带耳机了，唯一的缺点就是数据线很硬，充电时不敢碰手机，骁龙888果然发热厉害，,0.0
641,1128382463135,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 12:47:06,比之前的三星好多了！性价比高，,,,
642,1127116116401,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 12:46:10,客服很好，快递速度不错，包装不错，手机真的不错，很全能的手机。,,,
643,1127981750985,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 12:44:55,一直用的小米的手机，很好用，很喜欢，颜色也好看。,,,
644,1127548337280,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:绿色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 12:34:20,手机收到了，物流很快，头一天下单，第二天早上就收到，换机速度非常快，目前刚换机，其它惊喜有待发现！,,,
645,1127546941676,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 12:25:06,很棒，手感很好，屏幕色彩很舒适，就是感觉虽然5000毫安的电池感觉不耐用，，，基本上不怎么玩也得一天半一冲，，感觉有点与预期不太一样，还以为怎么也得能用2天多吧，，,,,
646,1127545877672,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+128GB,2021-04-06 12:18:13,挺好的，很喜欢,,,
647,1127977510435,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 12:12:45,手机很轻，打游戏也不烫手，服务态度很好，拍照也非常棒，还不错，比11好多了，发货很快，一天就到了,,,
648,1127542629665,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:紫色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 11:53:03,拍照效果：颜色比较深，感觉会自动修颜 电池续航：屏幕大，连续玩，大半天没电了，但充电也快 运行速度：快 从米6过来的，指纹解锁没那么快，加上曲面屏，屏又大，还在适应中，除了拍照效果比米6号，暂时还感觉不到其他，毕竟米6用得很满意，又不玩游戏啥的。一键换机，该有的软件和功能也有了，在和新手机慢慢培养感情中。 问题是，摄像头太凸了手机壳都保护不了，现在都不太敢放在硬的桌面上，十分不理解为什么设计师会允许这样的存在？ 图一是米6，图二和图5是11pro拍照效果,,,
649,1127107556930,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 11:47:39,无缺点。拍照很好高清，运行速度快，电池充电速度很快30几分钟充满。更省事。买了不亏。强烈推荐黑色，黑色呈现出带点银很上档次,,,
650,1127107072108,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:8+256GB,2021-04-06 11:42:02,好评,,,
651,1127972862700,小米11pro,网络类型:SA/NSA双模(5G);机身颜色:黑色;套餐类型:套餐一;存储容量:12+256GB,2021-04-06 11:39:20,太棒了，就是有点沉，马上凑齐小米全家桶！,,,
